id,module_code,title,category,topic_tags,target_group,description,faculty_tag,level_tag,study_level_match,module_level_number,credits,semester
18,SDS1017,Library Research Support,Campus Service,"machine learning,programming,distributed systems,student support,academic support,foundations",All Students,"Library Research Support provides university support services related to machine learning, programming, distributed systems for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
19,SDS1018,Level 1000 Introduction to Cybersecurity Computing,Academic,"programming,web development,machine learning,introductory",Undergraduate,"Level 1000 Introduction to Cybersecurity Computing is designed for undergraduate and focuses on programming, web development, machine learning within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
20,SCI1019,Entrepreneurship Seminar,Student Activity,"chemistry,experimentation,scientific methods,leadership,innovation,fundamentals",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in chemistry, experimentation, scientific methods and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
21,SDS1020,Level 1000 Introduction to Software Computing,Academic,"analytics,cybersecurity,devops,fundamentals",Undergraduate,"Level 1000 Introduction to Software Computing is designed for undergraduate and focuses on analytics, cybersecurity, devops within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
22,SBE1021,Level 1000 Introduction to Management Practice,Academic,"economics,marketing,business,basics",Undergraduate,"Level 1000 Introduction to Management Practice is designed for undergraduate and focuses on economics, marketing, business within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
23,SCI1022,Level 1000 Introduction to Applied Systems,Academic,"experimentation,data analysis,statistics,fundamentals",Undergraduate,"Level 1000 Introduction to Applied Systems is designed for undergraduate and focuses on experimentation, data analysis, statistics within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
24,SDS1023,Professional Skills Lab,Career,"analytics,cybersecurity,machine learning,career,employability,professional skills,introductory",Undergraduate,"Professional Skills Lab supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
25,SDS1024,Level 1000 Introduction to Systems Design,Academic,"cybersecurity,analytics,data science,fundamentals",Undergraduate,"Level 1000 Introduction to Systems Design is designed for undergraduate and focuses on cybersecurity, analytics, data science within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
26,SBE1025,Entrepreneurship Seminar,Student Activity,"business,entrepreneurship,strategy,leadership,innovation,introductory",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in business, entrepreneurship, strategy and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
27,SCI1026,Level 1000 Introduction to Physics Research,Academic,"environment,research,statistics,basics",Undergraduate,"Level 1000 Introduction to Physics Research is designed for undergraduate and focuses on environment, research, statistics within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
28,SCI1027,Level 1000 Introduction to Physics Analysis,Academic,"lab work,data analysis,scientific methods,foundations",Undergraduate,"Level 1000 Introduction to Physics Analysis is designed for undergraduate and focuses on lab work, data analysis, scientific methods within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
29,SBE1028,Level 1000 Introduction to Finance Leadership,Academic,"management,business,marketing,foundations",Undergraduate,"Level 1000 Introduction to Finance Leadership is designed for undergraduate and focuses on management, business, marketing within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
30,SDS1029,Entrepreneurship Seminar,Student Activity,"web development,programming,software engineering,leadership,innovation,basics",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in web development, programming, software engineering and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
31,FASS1030,Academic Advisory Session,Campus Service,"sociology,culture,innovation,student support,academic support,fundamentals",All Students,"Academic Advisory Session provides university support services related to sociology, culture, innovation for the UBD community.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
32,SDS1031,Level 1000 Introduction to AI Mining,Academic,"data science,devops,python,basics",Undergraduate,"Level 1000 Introduction to AI Mining is designed for undergraduate and focuses on data science, devops, python within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
33,SBE1032,Level 1000 Introduction to Economic Applications,Academic,"leadership,business,management,basics",Undergraduate,"Level 1000 Introduction to Economic Applications is designed for undergraduate and focuses on leadership, business, management within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
34,SCI1033,Student Leadership Forum,Student Activity,"physics,chemistry,scientific methods,leadership,innovation,introductory",All Students,"Student Leadership Forum is an engagement opportunity for students interested in physics, chemistry, scientific methods and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
35,SDS1034,Level 1000 Introduction to Programming Applications,Academic,"azure,analytics,data science,fundamentals",Undergraduate,"Level 1000 Introduction to Programming Applications is designed for undergraduate and focuses on azure, analytics, data science within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
36,SCI1035,Internship Preparation Workshop,Career,"physics,environment,experimentation,career,employability,professional skills,introductory",Undergraduate,"Internship Preparation Workshop supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
37,SCI1036,Level 1000 Introduction to Chemistry Investigations,Academic,"experimentation,environment,scientific methods,foundations",Undergraduate,"Level 1000 Introduction to Chemistry Investigations is designed for undergraduate and focuses on experimentation, environment, scientific methods within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
38,SCI1037,Level 1000 Introduction to Chemistry Methods,Academic,"lab work,chemistry,research,basics",Undergraduate,"Level 1000 Introduction to Chemistry Methods is designed for undergraduate and focuses on lab work, chemistry, research within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
39,SBE1038,Professional Skills Lab,Career,"business,strategy,finance,career,employability,professional skills,fundamentals",Undergraduate,"Professional Skills Lab supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
40,SBE1039,Level 1000 Introduction to Strategic Planning,Academic,"leadership,strategy,analytics,fundamentals",Undergraduate,"Level 1000 Introduction to Strategic Planning is designed for undergraduate and focuses on leadership, strategy, analytics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
41,SDS1040,Level 1000 Introduction to Cybersecurity Computing,Academic,"data science,cloud,programming,foundations",Undergraduate,"Level 1000 Introduction to Cybersecurity Computing is designed for undergraduate and focuses on data science, cloud, programming within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
42,FASS1041,Level 1000 Introduction to Media Projects,Academic,"writing,communication,research,introductory",Undergraduate,"Level 1000 Introduction to Media Projects is designed for undergraduate and focuses on writing, communication, research within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
43,SDS1042,Student Wellbeing Support,Campus Service,"cybersecurity,software engineering,web development,student support,academic support,fundamentals",All Students,"Student Wellbeing Support provides university support services related to cybersecurity, software engineering, web development for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
44,SDS1043,Entrepreneurship Seminar,Student Activity,"devops,programming,sql,leadership,innovation,introductory",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in devops, programming, sql and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
45,SBE1044,Level 1000 Introduction to Finance Applications,Academic,"management,economics,analytics,foundations",Undergraduate,"Level 1000 Introduction to Finance Applications is designed for undergraduate and focuses on management, economics, analytics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
46,SCI1045,Level 1000 Introduction to Quantitative Research,Academic,"chemistry,physics,lab work,fundamentals",Undergraduate,"Level 1000 Introduction to Quantitative Research is designed for undergraduate and focuses on chemistry, physics, lab work within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
47,SDS1046,Level 1000 Introduction to AI Computing,Academic,"distributed systems,sql,cybersecurity,fundamentals",Undergraduate,"Level 1000 Introduction to AI Computing is designed for undergraduate and focuses on distributed systems, sql, cybersecurity within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
48,SDS1047,Level 1000 Introduction to AI Infrastructure,Academic,"programming,web development,analytics,fundamentals",Undergraduate,"Level 1000 Introduction to AI Infrastructure is designed for undergraduate and focuses on programming, web development, analytics within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
49,SDS1048,Level 1000 Introduction to Software Architecture,Academic,"web development,distributed systems,sql,basics",Undergraduate,"Level 1000 Introduction to Software Architecture is designed for undergraduate and focuses on web development, distributed systems, sql within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
50,SBE1049,Level 1000 Introduction to Strategic Practice,Academic,"leadership,strategy,economics,basics",Undergraduate,"Level 1000 Introduction to Strategic Practice is designed for undergraduate and focuses on leadership, strategy, economics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
51,SBE1050,Level 1000 Introduction to Strategic Practice,Academic,"innovation,finance,marketing,basics",Undergraduate,"Level 1000 Introduction to Strategic Practice is designed for undergraduate and focuses on innovation, finance, marketing within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
52,FASS1051,Professional Skills Lab,Career,"innovation,media,sociology,career,employability,professional skills,foundations",Undergraduate,"Professional Skills Lab supports undergraduate in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
53,SCI1052,Level 1000 Introduction to Biology Foundations,Academic,"statistics,research,physics,fundamentals",Undergraduate,"Level 1000 Introduction to Biology Foundations is designed for undergraduate and focuses on statistics, research, physics within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
54,SBE1053,Level 1000 Introduction to Marketing Applications,Academic,"management,leadership,finance,foundations",Undergraduate,"Level 1000 Introduction to Marketing Applications is designed for undergraduate and focuses on management, leadership, finance within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
55,SBE1054,Level 1000 Introduction to Strategic Decision Making,Academic,"business,management,finance,introductory",Undergraduate,"Level 1000 Introduction to Strategic Decision Making is designed for undergraduate and focuses on business, management, finance within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
56,SDS1055,Library Research Support,Campus Service,"sql,python,distributed systems,student support,academic support,foundations",All Students,"Library Research Support provides university support services related to sql, python, distributed systems for the UBD community.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
57,SCI1056,Level 1000 Introduction to Physics Analysis,Academic,"scientific methods,physics,chemistry,fundamentals",Undergraduate,"Level 1000 Introduction to Physics Analysis is designed for undergraduate and focuses on scientific methods, physics, chemistry within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
58,SCI1057,Level 1000 Introduction to Laboratory Systems,Academic,"physics,environment,research,foundations",Undergraduate,"Level 1000 Introduction to Laboratory Systems is designed for undergraduate and focuses on physics, environment, research within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
59,SCI1058,Level 1000 Introduction to Scientific Foundations,Academic,"experimentation,data analysis,biology,basics",Undergraduate,"Level 1000 Introduction to Scientific Foundations is designed for undergraduate and focuses on experimentation, data analysis, biology within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
60,SBE1059,Level 1000 Introduction to Strategic Development,Academic,"strategy,management,analytics,fundamentals",Undergraduate,"Level 1000 Introduction to Strategic Development is designed for undergraduate and focuses on strategy, management, analytics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
61,SCI1060,Level 1000 Introduction to Laboratory Systems,Academic,"biology,data analysis,statistics,fundamentals",Undergraduate,"Level 1000 Introduction to Laboratory Systems is designed for undergraduate and focuses on biology, data analysis, statistics within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
62,SDS1061,Level 1000 Introduction to Cloud Applications,Academic,"software engineering,analytics,cybersecurity,fundamentals",Undergraduate,"Level 1000 Introduction to Cloud Applications is designed for undergraduate and focuses on software engineering, analytics, cybersecurity within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
63,FASS1062,Library Research Support,Campus Service,"history,innovation,writing,student support,academic support,basics",All Students,"Library Research Support provides university support services related to history, innovation, writing for the UBD community.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
64,SBE1063,Level 1000 Introduction to Finance Decision Making,Academic,"finance,leadership,innovation,basics",Undergraduate,"Level 1000 Introduction to Finance Decision Making is designed for undergraduate and focuses on finance, leadership, innovation within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
65,FASS1064,Technology Showcase,Student Activity,"innovation,academic writing,media,leadership,basics",All Students,"Technology Showcase is an engagement opportunity for students interested in innovation, academic writing, media and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
66,SDS1065,Level 1000 Introduction to Cloud Infrastructure,Academic,"cybersecurity,cloud,python,basics",Undergraduate,"Level 1000 Introduction to Cloud Infrastructure is designed for undergraduate and focuses on cybersecurity, cloud, python within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
67,SCI1066,Technology Showcase,Student Activity,"experimentation,research,data analysis,leadership,innovation,fundamentals",All Students,"Technology Showcase is an engagement opportunity for students interested in experimentation, research, data analysis and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
68,SDS1067,Research Poster Session,Student Activity,"web development,analytics,programming,leadership,innovation,foundations",All Students,"Research Poster Session is an engagement opportunity for students interested in web development, analytics, programming and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
69,SBE1068,Level 1000 Introduction to Marketing Analysis,Academic,"entrepreneurship,economics,management,introductory",Undergraduate,"Level 1000 Introduction to Marketing Analysis is designed for undergraduate and focuses on entrepreneurship, economics, management within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
70,SCI1069,Level 1000 Introduction to Scientific Methods,Academic,"scientific methods,experimentation,data analysis,basics",Undergraduate,"Level 1000 Introduction to Scientific Methods is designed for undergraduate and focuses on scientific methods, experimentation, data analysis within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
71,FASS1070,Level 1000 Introduction to Social Studies,Academic,"innovation,critical thinking,research,foundations",Undergraduate,"Level 1000 Introduction to Social Studies is designed for undergraduate and focuses on innovation, critical thinking, research within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
72,SDS1071,Level 1000 Introduction to AI Development,Academic,"cloud,software engineering,azure,foundations",Undergraduate,"Level 1000 Introduction to AI Development is designed for undergraduate and focuses on cloud, software engineering, azure within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
73,FASS1072,Research Poster Session,Student Activity,"culture,writing,policy,leadership,innovation,basics",All Students,"Research Poster Session is an engagement opportunity for students interested in culture, writing, policy and broader campus participation.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 1
74,SBE1073,Level 1000 Introduction to Finance Systems,Academic,"finance,innovation,economics,basics",Undergraduate,"Level 1000 Introduction to Finance Systems is designed for undergraduate and focuses on finance, innovation, economics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
75,SBE1074,Academic Advisory Session,Campus Service,"marketing,economics,entrepreneurship,student support,academic support,introductory",All Students,"Academic Advisory Session provides university support services related to marketing, economics, entrepreneurship for the UBD community.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
76,SBE1075,Level 1000 Introduction to Innovation Planning,Academic,"analytics,finance,economics,fundamentals",Undergraduate,"Level 1000 Introduction to Innovation Planning is designed for undergraduate and focuses on analytics, finance, economics within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 2
77,SDS1076,Entrepreneurship Seminar,Student Activity,"sql,devops,web development,leadership,innovation,fundamentals",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in sql, devops, web development and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 2
78,SDS1077,Level 1000 Introduction to Data Computing,Academic,"cybersecurity,sql,web development,basics",Undergraduate,"Level 1000 Introduction to Data Computing is designed for undergraduate and focuses on cybersecurity, sql, web development within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
79,SCI1078,Level 1000 Introduction to Applied Analysis,Academic,"statistics,physics,experimentation,fundamentals",Undergraduate,"Level 1000 Introduction to Applied Analysis is designed for undergraduate and focuses on statistics, physics, experimentation within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
80,SCI1079,Level 1000 Introduction to Chemistry Methods,Academic,"biology,statistics,data analysis,foundations",Undergraduate,"Level 1000 Introduction to Chemistry Methods is designed for undergraduate and focuses on biology, statistics, data analysis within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
81,FASS1080,Level 1000 Introduction to Critical Perspectives,Academic,"history,communication,research,basics",Undergraduate,"Level 1000 Introduction to Critical Perspectives is designed for undergraduate and focuses on history, communication, research within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
82,FASS1081,Level 1000 Introduction to Communication Practice,Academic,"culture,literature,history,introductory",Undergraduate,"Level 1000 Introduction to Communication Practice is designed for undergraduate and focuses on culture, literature, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 2
83,SCI1082,Student Leadership Forum,Student Activity,"data analysis,biology,scientific methods,leadership,innovation,introductory",All Students,"Student Leadership Forum is an engagement opportunity for students interested in data analysis, biology, scientific methods and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 2
84,SCI1083,Learning Support Workshop,Campus Service,"research,physics,scientific methods,student support,academic support,fundamentals",All Students,"Learning Support Workshop provides university support services related to research, physics, scientific methods for the UBD community.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
85,FASS1084,Level 1000 Introduction to Writing Studies,Academic,"critical thinking,culture,history,basics",Undergraduate,"Level 1000 Introduction to Writing Studies is designed for undergraduate and focuses on critical thinking, culture, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
86,SCI1085,Level 1000 Introduction to Biology Techniques,Academic,"physics,scientific methods,lab work,basics",Undergraduate,"Level 1000 Introduction to Biology Techniques is designed for undergraduate and focuses on physics, scientific methods, lab work within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 2
87,FASS1086,Level 1000 Introduction to Communication Perspectives,Academic,"academic writing,sociology,history,introductory",Undergraduate,"Level 1000 Introduction to Communication Perspectives is designed for undergraduate and focuses on academic writing, sociology, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
88,FASS1087,Level 1000 Introduction to Media Inquiry,Academic,"history,media,writing,basics",Undergraduate,"Level 1000 Introduction to Media Inquiry is designed for undergraduate and focuses on history, media, writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
89,FASS1088,Level 1000 Introduction to Social Perspectives,Academic,"innovation,research,media,introductory",Undergraduate,"Level 1000 Introduction to Social Perspectives is designed for undergraduate and focuses on innovation, research, media within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,4,Semester 1
90,SDS1089,Entrepreneurship Seminar,Student Activity,"devops,python,web development,leadership,innovation,basics",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in devops, python, web development and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
91,SDS1090,Research Poster Session,Student Activity,"azure,web development,cloud,leadership,innovation,introductory",All Students,"Research Poster Session is an engagement opportunity for students interested in azure, web development, cloud and broader campus participation.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 1
92,SCI1091,Entrepreneurship Seminar,Student Activity,"lab work,statistics,research,leadership,innovation,basics",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in lab work, statistics, research and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,3,Semester 1
93,SBE1092,Innovation Challenge,Student Activity,"management,innovation,strategy,leadership,introductory",All Students,"Innovation Challenge is an engagement opportunity for students interested in management, innovation, strategy and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
94,SBE1093,Technology Showcase,Student Activity,"entrepreneurship,innovation,leadership,foundations",All Students,"Technology Showcase is an engagement opportunity for students interested in entrepreneurship, innovation, leadership and broader campus participation.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 2
95,SDS1094,Level 1000 Introduction to Software Development,Academic,"software engineering,data science,analytics,basics",Undergraduate,"Level 1000 Introduction to Software Development is designed for undergraduate and focuses on software engineering, data science, analytics within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,3,Semester 1
96,SCI1095,Level 1000 Introduction to Biology Applications,Academic,"chemistry,data analysis,research,basics",Undergraduate,"Level 1000 Introduction to Biology Applications is designed for undergraduate and focuses on chemistry, data analysis, research within Faculty of Science.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
97,SCI1096,Technology Showcase,Student Activity,"experimentation,lab work,research,leadership,innovation,fundamentals",All Students,"Technology Showcase is an engagement opportunity for students interested in experimentation, lab work, research and broader campus participation.",Faculty of Science,Level 1000,Undergraduate,1000,4,Semester 1
98,SBE1097,CV and Portfolio Review,Career,"analytics,leadership,finance,career,employability,professional skills,foundations",Undergraduate,"CV and Portfolio Review supports undergraduate in preparing for internships, employment, and professional development.",School of Business and Economics,Level 1000,Undergraduate,1000,3,Semester 1
99,SDS1098,Level 1000 Introduction to Software Applications,Academic,"devops,azure,analytics,basics",Undergraduate,"Level 1000 Introduction to Software Applications is designed for undergraduate and focuses on devops, azure, analytics within School of Digital Science.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
100,SBE1099,Level 1000 Introduction to Marketing Leadership,Academic,"marketing,analytics,finance,fundamentals",Undergraduate,"Level 1000 Introduction to Marketing Leadership is designed for undergraduate and focuses on marketing, analytics, finance within School of Business and Economics.",School of Business and Economics,Level 1000,Undergraduate,1000,4,Semester 1
101,SDS1000,Graduate Employability Clinic,Career,"python,sql,azure,career,employability,professional skills,foundations",Undergraduate,"Graduate Employability Clinic supports undergraduate in preparing for internships, employment, and professional development.",School of Digital Science,Level 1000,Undergraduate,1000,4,Semester 2
102,FASS1001,Student Wellbeing Support,Campus Service,"media,literature,communication,student support,academic support,foundations",All Students,"Student Wellbeing Support provides university support services related to media, literature, communication for the UBD community.",Faculty of Arts and Social Sciences,Level 1000,Undergraduate,1000,3,Semester 2
